"Year","Site","Patch","Adaptive.Mgmt","Herb.Trt","american lady","black swallowtail","bronze copper","cabbage white","clouded sulphur","common buckeye","common wood nymph","delaware skipper","dun skipper","eastern comma","eastern tailed blue","eastern tiger swallowtail","giant swallowtail","gray copper","great spangled fritillary","little wood satyr","little yellow","meadow fritillary","monarch","orange sulphur","pearl crescent","peck's skipper","red admiral","regal fritillary","silver-spotted skipper","silvery checkerspot","spring azure","summer azure","tawny-edged skipper","Abundance","Richness","Diversity"
14,"RC2","RC2-C","IC","Spr",0,0,0,1,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,12,6,1.63263092715435
14,"RC2","RC2-N","IC","SnS",1,1,0,1,3,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1.83437197028162
14,"RC2","RC2-S","IC","Con",0,0,0,0,5,0,0,0,0,0,7,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,5,1.33166028682243
15,"RC2","RC2-C","IC","Spr",0,0,0,60,10,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,86,7,1.03566446713988
15,"RC2","RC2-N","IC","SnS",0,1,0,59,11,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,79,9,0.955218157359942
15,"RC2","RC2-S","IC","Con",0,0,0,6,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,15,5,1.49436508345339
16,"RC2","RC2-C","IC","Spr",0,3,2,13,7,3,0,0,0,0,7,0,1,0,1,0,0,4,1,9,4,0,1,0,0,0,0,0,1,57,14,2.29865779569616
16,"RC2","RC2-N","IC","SnS",0,7,0,7,6,1,0,0,0,0,11,0,0,0,0,0,0,5,0,7,5,1,1,1,1,1,0,0,0,54,13,2.24665261932996
16,"RC2","RC2-S","IC","Con",0,2,0,8,2,0,4,0,1,0,1,0,0,0,1,1,0,2,1,5,3,0,1,1,0,0,0,0,0,33,14,2.35461000724064
17,"RC2","RC2-C","IC","Spr",0,0,2,4,4,0,0,0,0,0,12,0,0,0,0,0,0,0,1,4,10,0,0,0,0,0,0,0,0,37,7,1.69560554988868
17,"RC2","RC2-N","IC","SnS",0,0,0,9,2,2,1,0,0,0,13,0,0,0,1,0,0,3,0,4,14,1,1,2,0,0,1,0,0,54,13,2.08035325301829
17,"RC2","RC2-S","IC","Con",1,0,0,13,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,0,1,1,0,0,0,0,0,33,8,1.72435331245643
18,"RC2","RC2-C","IC","Spr",0,0,0,1,3,0,1,1,0,0,2,0,0,0,0,0,0,3,1,4,5,0,0,0,0,2,0,0,0,23,10,2.13737989154226
18,"RC2","RC2-N","IC","SnS",0,2,0,2,2,0,0,0,0,0,2,4,0,0,0,0,1,1,0,1,11,0,0,0,1,0,0,0,0,27,10,1.9081626849028
18,"RC2","RC2-S","IC","Con",0,0,0,1,1,0,2,0,0,0,1,0,0,0,4,0,0,2,1,2,4,0,0,3,0,0,0,1,2,24,12,2.34758011370449
