"Composite.Variable","Year","Herbicide.Treatment","Site","Family","Number"
"2014-Con",2014,"Con","GIL","Nymphalidae",18
"2015-Con",2015,"Con","GIL","Nymphalidae",10
"2016-Con",2016,"Con","GIL","Nymphalidae",13
"2017-Con",2017,"Con","GIL","Nymphalidae",13
"2014-SnS",2014,"SnS","GIL","Nymphalidae",27
"2015-SnS",2015,"SnS","GIL","Nymphalidae",4
"2016-SnS",2016,"SnS","GIL","Nymphalidae",18
"2017-SnS",2017,"SnS","GIL","Nymphalidae",26
"2014-Spr",2014,"Spr","GIL","Nymphalidae",6
"2015-Spr",2015,"Spr","GIL","Nymphalidae",7
"2016-Spr",2016,"Spr","GIL","Nymphalidae",14
"2017-Spr",2017,"Spr","GIL","Nymphalidae",36
"2014-Con",2014,"Con","LTR","Nymphalidae",3
"2015-Con",2015,"Con","LTR","Nymphalidae",12
"2016-Con",2016,"Con","LTR","Nymphalidae",8
"2017-Con",2017,"Con","LTR","Nymphalidae",14
"2014-SnS",2014,"SnS","LTR","Nymphalidae",4
"2015-SnS",2015,"SnS","LTR","Nymphalidae",15
"2016-SnS",2016,"SnS","LTR","Nymphalidae",24
"2017-SnS",2017,"SnS","LTR","Nymphalidae",25
"2014-Spr",2014,"Spr","LTR","Nymphalidae",8
"2015-Spr",2015,"Spr","LTR","Nymphalidae",11
"2016-Spr",2016,"Spr","LTR","Nymphalidae",15
"2017-Spr",2017,"Spr","LTR","Nymphalidae",29
"2014-Con",2014,"Con","PYW","Nymphalidae",7
"2015-Con",2015,"Con","PYW","Nymphalidae",15
"2016-Con",2016,"Con","PYW","Nymphalidae",13
"2017-Con",2017,"Con","PYW","Nymphalidae",12
"2014-SnS",2014,"SnS","PYW","Nymphalidae",10
"2015-SnS",2015,"SnS","PYW","Nymphalidae",9
"2016-SnS",2016,"SnS","PYW","Nymphalidae",14
"2017-SnS",2017,"SnS","PYW","Nymphalidae",19
"2014-Spr",2014,"Spr","PYW","Nymphalidae",9
"2015-Spr",2015,"Spr","PYW","Nymphalidae",13
"2016-Spr",2016,"Spr","PYW","Nymphalidae",13
"2017-Spr",2017,"Spr","PYW","Nymphalidae",36
