"Composite.Variable","Herbicide.Treatment","Year","Site","Patch","black-eyed susan","blue-eyed grass","butterfly milkweed","germander","grey-headed coneflower","ironweed","pale spike lobelia","prairie cinquefoil","prairie petunia","showy tick trefoil","slender mountain mint","spotted st. john's wort","sweet black-eyed susan","white wild indigo","wild bergamot","Abundance","Species.Density"
"2014-Con","Con",2014,"GIL","GIL-S",0,0,0,14,0,0,0,0,0,0,0,0,0,0,61,75,2
"2014-Con","Con",2014,"LTR","LTR-W",0,0,0,1,0,0,0,0,14,0,0,0,0,5,0,20,3
"2014-Con","Con",2014,"PYW","PYW-S",0,0,0,0,0,0,2,0,11,0,4,0,0,0,0,17,3
"2014-SnS","SnS",2014,"GIL","GIL-C",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"2014-SnS","SnS",2014,"LTR","LTR-E",0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,17,2
"2014-SnS","SnS",2014,"PYW","PYW-N",0,1,0,0,0,0,2,0,8,0,43,0,0,1,0,55,5
"2014-Spr","Spr",2014,"GIL","GIL-N",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"2014-Spr","Spr",2014,"LTR","LTR-C",0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,33,2
"2014-Spr","Spr",2014,"PYW","PYW-C",0,0,17,0,0,0,0,0,26,0,38,0,0,0,0,81,3
"2015-Con","Con",2015,"GIL","GIL-S",0,0,0,33,0,6,0,0,2,0,0,0,0,0,169,210,4
"2015-Con","Con",2015,"LTR","LTR-W",0,0,0,0,0,8,0,0,11,0,9,0,0,3,5,36,5
"2015-Con","Con",2015,"PYW","PYW-S",7,0,0,0,0,0,12,1,16,0,57,0,0,0,0,93,5
"2015-SnS","SnS",2015,"LTR","LTR-E",0,0,0,1,0,37,0,0,8,0,0,0,0,4,0,50,4
"2015-SnS","SnS",2015,"PYW","PYW-N",7,0,0,0,0,2,28,0,19,0,237,0,0,0,0,293,5
"2015-Spr","Spr",2015,"LTR","LTR-C",0,0,0,6,0,14,0,0,23,0,31,0,0,3,0,77,5
"2015-Spr","Spr",2015,"PYW","PYW-C",2,0,0,0,3,5,5,0,34,0,316,0,0,0,0,365,6
"2016-Con","Con",2016,"GIL","GIL-S",4,0,0,100,3,235,0,0,0,0,0,0,0,0,570,912,5
"2016-Con","Con",2016,"LTR","LTR-W",0,0,0,0,0,6,0,0,5,0,55,0,0,0,4,70,4
"2016-Con","Con",2016,"PYW","PYW-S",21,0,0,4,0,4,43,2,0,0,495,0,0,0,0,569,6
"2016-SnS","SnS",2016,"GIL","GIL-C",34,0,0,3,0,9,0,1,1,0,0,0,0,0,13,61,6
"2016-SnS","SnS",2016,"LTR","LTR-E",9,0,0,1,0,199,0,0,9,0,180,0,0,2,1,401,7
"2016-SnS","SnS",2016,"PYW","PYW-N",171,0,1,0,4,1,36,0,16,0,1668,0,0,0,0,1897,7
"2016-Spr","Spr",2016,"GIL","GIL-N",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,2
"2016-Spr","Spr",2016,"LTR","LTR-C",4,0,0,0,0,5,17,0,0,0,3,0,0,6,7,42,6
"2016-Spr","Spr",2016,"PYW","PYW-C",146,0,5,0,11,0,3,0,11,0,696,0,0,0,0,872,6
"2017-Con","Con",2017,"GIL","GIL-S",0,0,0,66,0,49,0,0,3,0,0,0,0,0,921,1039,4
"2017-Con","Con",2017,"LTR","LTR-W",0,0,0,0,0,20,1,0,8,0,119,0,0,4,0,152,5
"2017-Con","Con",2017,"PYW","PYW-S",12,3,0,0,0,0,2,0,3,0,195,0,3,0,0,218,6
"2017-SnS","SnS",2017,"GIL","GIL-C",1,0,0,48,4,46,0,1,0,0,55,0,6,0,29,190,8
"2017-SnS","SnS",2017,"LTR","LTR-E",9,0,0,22,5,319,0,0,17,0,5,0,0,1,8,386,8
"2017-SnS","SnS",2017,"PYW","PYW-N",21,4,0,7,13,0,0,0,15,0,1133,0,0,3,1,1197,8
"2017-Spr","Spr",2017,"GIL","GIL-N",0,0,0,6,3,0,0,5,4,0,3,0,0,0,54,75,6
"2017-Spr","Spr",2017,"LTR","LTR-C",0,1,0,19,0,54,0,0,22,15,139,0,0,11,11,272,8
"2017-Spr","Spr",2017,"PYW","PYW-C",41,3,0,0,0,0,0,0,24,0,352,22,3,30,0,475,7
