"Year","Site","Patch","Adaptive.Mgmt","Herb.Trt","alfalfa","alsike clover","birdsfoot trefoil","black-eyed susan","butterfly milkweed","canada anemone","common cinquefoil","crown vetch","daisy fleabane","deptford pink","downy cinquefoil","field pennycress","grey-headed coneflower","hoary vervain","horsenettle","ironweed","morning glory","old field goldenrod","oxeye sunflower","prairie cinquefoil","prairie petunia","prairie turnip","queen anne's lace","red clover","ribwort plantain","sawtooth sunflower","showy tick trefoil","slender mountain mint","st. john's wort","sulfur cinquefoil","swamp vervain","white clover","white sweet clover","white vervain","wild bergamot","wild parsnip","yarrow","yellow oxalis","Abundance","Richness","Diversity"
14,"RC2","RC2-C","IC","Spr",0,0,592,0,0,0,0,0,3,116,0,0,0,0,0,0,0,0,0,0,0,0,1,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,5,0.961957309314476
14,"RC2","RC2-N","IC","SnS",0,0,18,0,0,0,1,0,0,24,0,0,0,0,4,0,0,0,0,0,0,5,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76,7,1.51482916208236
14,"RC2","RC2-S","IC","Con",7,17,2506,0,0,0,1,0,6,14,0,0,0,0,3,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,94,0,0,0,0,27,0,3070,10,0.66670877748921
15,"RC2","RC2-C","IC","Spr",0,5,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,51,0,0,0,0,0,0,0,7,52,0,4,0,0,0,0,3052,8,0.222024892283951
15,"RC2","RC2-N","IC","SnS",0,0,544,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,0,0,0,1,0,95,0,0,0,0,0,65,765,7,0.948327865706873
15,"RC2","RC2-S","IC","Con",0,0,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,3,0.54491651284912
16,"RC2","RC2-C","IC","Spr",0,69,0,0,0,0,1,0,455,3,0,0,0,5,1,0,0,0,0,22,1,0,0,580,0,0,0,0,0,0,460,1,0,0,0,0,0,0,1598,11,1.32697425895597
16,"RC2","RC2-N","IC","SnS",18,13,3536,45,0,0,1,0,649,490,0,0,0,18,7,0,0,0,0,9,0,0,5,1365,738,1,5,78,0,0,0,15,0,4,17,1,0,0,7015,20,1.49308953398054
16,"RC2","RC2-S","IC","Con",0,0,2548,0,0,0,0,0,38,0,0,0,0,0,5,0,3,0,0,0,61,0,437,396,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3489,8,0.874472030565608
17,"RC2","RC2-C","IC","Spr",0,0,2254,0,0,0,0,0,28,0,1,0,0,0,6,0,166,0,0,0,17,0,52,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,3484,8,0.922742259644658
17,"RC2","RC2-N","IC","SnS",0,0,4877,5,0,0,0,0,49,1,0,2,0,0,0,0,0,0,2,0,0,0,8,0,0,0,159,128,0,5,5,0,0,0,334,0,0,0,5575,12,0.550879475586349
17,"RC2","RC2-S","IC","Con",0,0,518,0,0,0,0,5,36,0,0,0,0,0,9,0,0,5,0,0,0,0,65,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,665,7,0.841612566188888
18,"RC2","RC2-C","IC","Spr",0,5,3626,0,6,2,0,0,245,34,0,0,0,0,0,1,0,0,0,0,2,0,389,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4370,11,0.656857554170234
18,"RC2","RC2-N","IC","SnS",0,0,2602,4,0,0,0,29,8,0,0,0,630,0,10,7,0,0,0,0,2,0,0,57,0,4,0,49,21,0,0,0,0,0,185,3,0,0,3611,14,0.952586045559496
18,"RC2","RC2-S","IC","Con",0,0,283,0,0,0,0,0,86,2,0,0,0,0,2,6,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,1,0,0,396,8,0.848607185940896
