"Nectar.Common.Name","Nectar.Scientific.Name","L48.Status","Abundance"
"alsike clover","Trifolium hybridum","E",1780
"antelope horns","Asclepias asperula","N",2
"birdsfoot trefoil","Lotus corniculatus","E",24795
"black medick","Medicago lupulina","E",1227
"black-eyed susan","Rudbeckia hirta","N",494
"blue-eyed grass","Sisyrinchium angustifolium","N",12
"broadleaf plantain","Plantago major","E",413
"butterfly milkweed","Asclepias tuberosa","N",30
"canada anemone","Anemone canadensis","N",11
"catnip","Nepetia cataria","E",4
"chickweed","Stellaria media","E",21
"chicory","Cichorium intybus","E",334
"common cinquefoil","Potentilla simplex","N",50
"common milkweed","Asclepias syriaca","N",4
"common mullein","Verbascum thapsus","E",1
"corn speedwell","Veronica arvensis","E",2
"daisy fleabane","Erigeron annuus","N",5653
"dandelion","Taraxacum officinale","N",5
"deptford pink","Dianthus armeria","E",1725
"field milkwort","Polygala sanguinea","N",16
"fieldcress","Lepidium campestre","E",12
"flowering spurge","Euphorbia corollata","N",1
"germander","Teucrium canadense","N",262
"grey-headed coneflower","Ratibida pinnata","N",185
"grooved yellow flax","Linum sulcatum","N",7
"ground cherry","Physalis virginiana","N",2
"hairy mountain mint","Pycnanthemum pilosum","N",34
"hawkweed","Hieracium lachenalii","E",1
"hoary vervain","Verbena stricta","N",672
"horsenettle","Solanum carolinense","N",250
"ironweed","Vernonia fasciculata","N",1275
"morning glory","Convolvulus arvensis","E",2
"moth mullein","Verbascum blattaria","N",6
"multiflora rose","Rosa multiflora","E",81
"musk thistle","Carduus nutans","E",1
"oxeye daisy","Leucanthemum vulgare","E",2432
"pale spike lobelia","Lobelia spicata","N",171
"partridge pea","Chamaecrista fasciculata","N",53
"prairie cinquefoil","Drymocallis arguta","N",10
"prairie petunia","Ruellia humilis","N",659
"prairie rose","Rosa arkansana","N",1
"queen anne's lace","Daucus carota","E",4055
"rapeseed","Brassica napus","E",1
"red clover","Trifolium pratense","E",5140
"ribwort plantain","Plantago lanceolata","E",3517
"sawtooth sunflower","Helianthus grosseserratus","N",1
"self-heal","Prunella vulgaris","N",334
"showy tick trefoil","Desmodium canadense","N",15
"slender mountain mint","Pycnanthemum tenuifolium","N",5628
"spotted st. john's wort","Hypericum punctatum","N",23
"st. john's wort","Hypericum perforatum","E",32
"sulfur cinquefoil","Potentilla recta","E",58
"swamp agrimony","Agrimonia parviflora","N",1
"swamp vervain","Verbena hastata","N",142
"tall green milkweed","Asclepias hirtella","N",3
"white clover","Trifolium repens","E",17095
"white sweet clover","Melilotus albus","E",65
"white vervain","Verbena urticifolia","N",28
"white wild indigo","Baptisia alba","N",66
"whorled milkweed","Asclepias verticillata","N",7
"wild bergamot","Monarda fistulosa","N",1422
"wild parsnip","Pastinaca sativa","E",7
"yarrow","Achillea millefollium","N",426
"yellow oxalis","Oxalis stricta","N",240
"yellow sweet clover","Melilotus officinalis","E",164
